id,pos,flr,flg,eg,er,fg,op
796,13,416,443,0.4598,14.7596,3.84629,62.2951
797,278,2100,3600,0.3725,6.70588,3.01205,0.0
798,43,1200,3000,0.1809,5.80729,0.7472,100.0
799,15,185,4200,0.344,11.0425,10.0,84.058
800,139,2500,962,0.2207,3.97176,-1.91327,75.3388
801,1,1000,969,0.19,6.1,0.104674,30.1587
802,7,340,437,0.93,29.8529,0.435477,47.3214
803,60,427,376,0.6318,20.281,10.0,25.3886
804,80,305,539,0.429,13.7705,10.0,39.0071
805,89,699,270,0.3849,12.3538,0.749618,40.3315
806,20,525,511,0.5443,17.4709,2.43524,63.299
807,11,134,215,0.9028,28.9801,0.919118,42.0455
808,5,549,1100,0.4052,13.0055,3.39778,0.0
809,910,431,407,0.3783,12.1423,0.858738,20.8333
810,289,708,984,0.0785,2.51883,0.0509,46.0993
811,65,432,6300,0.1154,3.7037,1.09609,76.4706
812,44,243,177,0.4572,14.6776,1.12295,26.5306
813,1300,1200,1300,0.0676,2.1713,0.8692,13.3333
814,34,953,827,0.4293,13.781,0.71379,33.5958
815,10,476,777,0.3783,12.1429,0.632411,65.942
816,99,1200,799,0.118,3.78704,1.6331,29.2208
817,44,882,185,0.8872,28.4781,10.0,83.9202
818,3,28,25,0.2596,8.33333,0.649773,50.0
819,1000,1700,7500,0.0058,0.186275,1.2348,46.4286
820,76,328,416,0.4876,15.6504,0.167832,19.0476
821,197,81,53,0.1004,3.22359,0.7082,14.2857
822,227,449,506,0.1476,4.73892,-0.158623,19.6721
823,219,1500,5200,0.0649,2.08235,8.67052,53.9063
824,72,489,549,0.5758,18.4844,-0.110865,43.0233
825,128,432,395,0.2856,9.16923,-0.288169,30.6977
826,49,912,1100,0.0634,2.0346,-0.230664,0.0
827,26,1400,7300,0.1517,4.87013,1.3186,83.3333
828,251,20600,7500,0.0682,0.736516,-0.452803,25.1799
829,1100,8000,6200,0.0557,0.818056,1.93798,72.1088
830,215,3500,1000,0.055,0.990476,0.515996,43.2314
831,194,2500,6600,0.017,0.306667,3.54925,61.6667
832,1,1400,6500,0.109,3.5,-1.29032,69.0476
833,11,548,452,0.7817,25.0913,0.134505,26.2458
834,81,134,159,0.4431,14.223,0.135882,27.5
835,16,644,792,0.6326,20.3058,0.643087,33.4123
836,27,199,895,0.6401,20.5472,-0.445633,72.6852
837,155,15900,727,0.0369,0.398323,-0.110947,62.6632
838,181,841,2200,0.2091,6.71159,-0.0650214,37.3391
839,238,727,1000,0.518,16.6285,0.253582,13.6598
840,63,1000,751,0.4431,14.2222,0.9114,32.1839
841,27,291,1200,0.2343,7.52196,2.01654,24.2718
842,15,262,254,0.6888,22.112,0.632,17.341
