id,pos,flr,flg,eg,er,fg,op
333,61,739,660,0.6621,21.2524,0.407301,32.2176
334,295,1300,1100,0.2956,9.48868,1.3661,17.7738
335,57,1300,983,0.3945,12.6624,1.489,30.6667
336,63,1400,1000,0.5721,18.3655,0.9731,23.7074
337,28,965,836,0.6887,22.1071,-0.0607681,22.4168
338,43,256,325,0.6213,19.9436,2.75125,34.375
339,27,924,587,0.9059,29.0787,0.3749,43.2918
340,34,233,434,0.5029,16.1421,0.7132,40.5405
341,12,257,358,0.5984,19.2076,1.86152,41.0448
342,15,140,211,0.8042,25.8163,4.04858,37.931
343,2,250,1100,0.8847,28.4,3.42173,42.8571
344,24,1200,660,0.6255,20.0784,8.18285,58.1311
345,24,150,297,0.5734,18.4074,1.42162,25.3333
346,52,476,1600,0.368,11.8114,1.8869,55.4817
347,11,331,353,0.4455,14.3001,2.01342,45.8824
348,33,306,770,0.6957,22.3312,3.38266,57.4534
349,35,1200,550,1.0,32.5093,1.64294,45.9411
350,72,815,477,0.2999,9.62781,0.0441921,33.4677
351,100,902,452,0.6817,21.8835,3.38454,32.381
352,38,325,714,0.4106,13.1795,-0.699301,48.1013
353,36,149,359,0.3043,9.76883,0.6314,0.0
354,56,360,488,0.7985,25.6327,-0.590087,53.0387
355,24,683,1500,0.6021,19.3265,2.97352,32.5
356,27,198,2000,0.5516,17.7048,1.18017,83.0827
357,99,1100,1300,0.3033,9.73486,4.04125,31.9035
358,80,862,2300,0.4025,12.9205,8.1589,27.9863
359,87,684,191,0.1222,3.92157,-1.19372,82.7273
360,195,1300,1600,0.1733,5.56411,1.2333,48.0226
361,37,1100,1800,0.5005,16.0657,0.9934,75.5088
362,4,216,838,0.2163,6.94444,10.0,40.9091
363,286,2200,1000,0.0652,1.17424,0.9921,17.9245
364,31,261,1200,0.2661,8.54181,4.87805,55.2239
365,6,840,1200,0.1687,5.41667,0.30631,22.7273
366,60,380,1600,0.2291,7.35381,-0.239025,80.9302
367,232,1400,6500,0.2123,6.81513,-1.1976,80.1693
368,17,496,326,0.3192,10.2456,4.79763,30.2703
369,40,924,7235,0.0871,2.79582,-0.0574,53.9216
370,33,5500,3300,0.3938,5.78889,1.387,49.9572
371,2,314,527,1.0,50.0,3.72553,44.5205
372,87,170,470,0.3655,11.732,9.11611,60.0
373,14,90,359,0.4183,13.4259,1.94932,74.5098
374,2100,1000,7500,0.0064,0.205556,4.39147,34.7826
375,12,203,301,0.5013,16.092,2.45265,56.7797
376,4,494,689,0.5739,18.4211,7.62148,91.6667
377,3,1000,342,0.2103,6.75,-1.6331,56.25
378,1,492,3700,0.3103,9.95935,3.88967,86.8421
379,12,696,75,0.009,0.287356,-0.766006,20.0
380,21,400,375,0.8845,28.3929,10.0,38.5
381,13,213,419,0.4961,15.9263,0.437063,39.4161
382,63,2300,3000,0.6657,11.9833,0.816549,36.0927
383,2,102,168,0.5498,17.6471,10.0,0.0
384,108,289,65,0.5426,17.4164,10.0,48.0
385,12,186,372,0.7453,23.9247,10.0,41.2698
386,36,3900,1100,0.7024,12.6425,-0.892326,90.4004
387,95,179,131,0.4761,15.2833,0.6157,0.0
388,264,1400,1400,0.4109,13.1905,1.37363,34.1732
389,18,858,481,0.3175,10.1928,1.13197,44.8925
390,48,756,6000,0.152,4.87862,-0.234518,76.4179
391,8,505,695,0.7711,24.7525,4.91639,62.3762
392,24,516,1648,0.5276,16.9358,0.389,30.0341
393,65,1700,1600,0.5823,18.6921,0.7207,0.0
394,2,924,3300,0.5091,16.342,0.176696,48.2759
395,41,138,218,0.5004,16.0628,1.4119,0.0
396,130,701,3000,0.2345,7.52892,0.668354,50.5556
397,562,11800,2400,0.3766,4.06733,4.81734,83.125
398,18,536,697,1.0,45.3358,5.77601,45.8333
399,13,101,196,0.437,14.0264,1.7895,0.0
400,19,332,574,0.1648,5.28991,0.937647,22.3404
401,22,161,126,0.8998,28.882,10.0,21.8391
402,87,294,516,0.3453,11.0844,3.79295,40.678
403,176,485,639,0.3486,11.1913,10.0,38.2775
404,28,281,390,0.6867,22.0443,10.0,49.8294
405,190,256,188,0.2508,8.05122,5.97042,59.0909
406,59,1300,399,0.4212,13.5214,3.24675,41.3509
407,25,232,509,0.3543,11.3727,7.80901,0.0
408,142,722,2374,0.1093,3.50877,0.4826,39.1304
409,18,1800,2300,0.3808,12.2222,9.03614,0.0
410,38,1400,951,0.7494,24.0556,1.3986,31.4059
411,705,1600,928,0.2424,7.78125,1.19048,26.9504
412,45,329,338,0.2799,8.98345,0.339802,32.5926
413,15,326,621,0.1408,4.51943,0.634921,46.988
414,394,1600,6600,0.0932,2.99053,1.19048,65.4428
415,7,188,335,0.7733,24.8227,4.78802,71.223
416,84,627,507,0.5637,18.0932,0.710732,20.4678
417,53,539,511,0.5163,16.5739,1.34009,52.8474
418,31,351,480,0.9797,31.4498,0.5812,51.0204
419,43,1300,433,0.2206,7.0812,6.03391,58.9041
420,174,178,165,0.5153,16.5418,0.713994,54.6512
421,55,423,168,0.151,4.84634,0.128315,77.0115
422,13,157,674,0.3205,10.2891,-0.554447,79.2683
423,9,2100,6700,0.1052,1.89418,1.1738,84.5794
424,33,2500,2600,0.0481,0.866667,-0.699301,65.3659
425,630,2800,1400,0.0186,0.335317,-0.601443,30.9524
426,24,350,697,0.4811,15.4444,4.12175,61.7225
427,4800,29600,6000,0.0116,0.107733,0.0608952,96.2264
428,87,10500,4900,0.0332,0.35873,-0.826446,63.2768
429,24,1300,112,0.0956,3.06731,-1.2605,0.0
430,26,444,2900,0.2888,9.27177,0.165289,82.2785
431,24,456,688,0.5297,17.0029,8.68565,36.4078
432,881,6800,661,0.0934,1.37311,0.263389,38.1295
433,414,3700,3000,0.158,2.84384,-0.472739,66.123
434,149,8600,1500,0.215,3.16021,-5.0,97.6316
435,7,2100,7400,0.031,0.557823,-0.811688,62.1622
436,1200,8800,7400,0.0175,0.256944,4.40681,70.6667
437,52,1200,7400,0.0363,1.16667,-1.43335,0.0
438,138,241,289,0.5896,18.9258,1.12135,27.2109
439,15,1300,842,0.9322,29.9231,1.43678,32.0946
440,77,531,996,0.3826,12.2829,3.76915,63.6364
441,8,3300,1200,0.532,9.57576,-4.17769,29.6296
442,45,580,599,0.6445,20.6897,0.158103,24.9423
443,5,71,366,1.0,37.7465,0.797307,63.3333
444,42,357,358,0.9381,30.112,10.0,81.071
445,308,593,1300,0.2291,7.35432,-0.329131,41.3793
446,171,738,1500,0.5633,18.0819,1.18784,25.4464
447,2,1100,904,0.633,20.3182,2.51054,30.719
448,17,193,131,0.8897,28.5584,1.53218,48.7437
449,11,242,330,0.9456,30.3531,0.150602,61.8868
450,2,206,1820,1.0,50.0,0.2655,0.0
451,293,3300,3000,0.3185,5.73233,1.1661,48.2472
452,73,1600,6400,0.0183,0.586806,2.52101,50.0
453,144,2500,3800,0.0661,1.18941,10.0,60.2484
454,611,2000,3800,0.0133,0.427778,-0.85034,85.5422
